week|týždeň
weekday1|pondelok
weekday2|utorok
weekday3|streda
weekday4|štvrtok
weekday5|piatok
weekday6|sobota
weekday7|nedeľa
month01|január
month02|február
month03|marec
month04|apríl
month05|máj
month06|jún
month07|júl
month08|august
month09|september
month10|október
month11|november
month12|december
